commit	val_bpb	memory_gb	status	description
573f4f1	2.078542	21.2	keep	baseline
604b30d	1.713575	21.2	keep	halve total batch size to 2^15
dd64c50	1.689240	21.2	keep	remove logit soft-capping
dfdafe6	1.621471	21.2	keep	halve batch size again to 2^14 with device_batch=8
d493259	1.484015	21.2	keep	batch size 2^13 with device_batch=4
c049755	1.482519	21.2	keep	lower matrix LR to 0.02
079184f	1.442207	21.2	keep	add 5% warmup
db6b3a9	1.434080	21.2	keep	reduce weight decay from 0.2 to 0.1
7253ca8	1.416087	20.7	keep	reduce MLP ratio from 4x to 3x
c744958	1.402759	26.1	keep	remove x0 residual stream + bfloat16 masks
4c00cd8	1.400322	26.1	keep	remove norm after embedding (simpler and better)
f289462	1.380556	26.1	keep	Muon optimizer for matrix params with matrix_lr=0.05
83f7a09	1.370248	26.1	keep	Muon matrix_lr=0.03
4b81769	1.354400	26.1	keep	weight decay 0.05 with Muon
b1ca669	1.344766	26.1	keep	weight decay 0.02 with Muon
a9bd38e	1.342700	26.1	keep	no weight decay with Muon
99728d1	1.340122	26.1	keep	warmup 10% with Muon
5efd937	1.338974	26.1	keep	warmup 15% with Muon
dcc57b6	1.338912	26.1	keep	embedding LR 0.4
471d06a	1.333884	25.9	keep	MLP ratio 2x with Muon
94d97ac	1.324896	25.9	keep	batch 2^14 device_batch=8
9671357	1.323732	25.9	keep	tiny weight decay 0.01 on Muon params
2e801c5	1.323657	25.9	keep	unembedding LR 0.003
14066c0	1.323228	26.0	keep	MLP 2.5x
1ec0a40	1.323197	25.9	keep	MLP 2.25x
bc00c8b	1.321158	25.9	keep	final LR frac 0.05
d4132a5	1.319656	25.9	keep	final LR frac 0.1
